Timestamp,/RealOutputs/ToF/Distance,/RealOutputs/ToF/Distance2,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1,/RealOutputs/ToF/Distance/length,/RealOutputs/ToF/FPGA,/RealOutputs/ToF/NT_Delta,/RealOutputs/ToF/NT_Time,/RealOutputs/ToF/Timestamps,/RealOutputs/ToF/Timestamps2,/RealOutputs/ToF/Timestamps3,/RealOutputs/ToF/Timestamps/0,/RealOutputs/ToF/Timestamps/1,/RealOutputs/ToF/Timestamps/2,/RealOutputs/ToF/Timestamps/length,/RealOutputs/Drive/LeftPositionMeters,/RealOutputs/Drive/LeftSetpointMetersPerSec,/RealOutputs/Drive/LeftVelocityMetersPerSec,/RealOutputs/Drive/RightPositionMeters,/RealOutputs/Drive/RightSetpointMetersPerSec,/RealOutputs/Drive/RightVelocityMetersPerSec,/RealOutputs/Odometry/Robot,/RealOutputs/Odometry/Robot/rotation/value
40.069681,841,757,841,757,2,40.070348,0.00547300000000206,40.064875,418.041900634766,418.061889648438,418.081878662109,418.041900634766,418.061889648438,418.081878662109,3,3.73545098304749,0.558459997177124,2.09288716316223,0.563728213310242,9e-5e-72-a4-68-b7-aa-bf-7a-70-76-5d-09-d2-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.0521805477848691,-1.92627846249437
40.089715,841,757,841,757,2,40.090382,0.0255069999999975,40.064875,418.041900634766,418.061889648438,418.081878662109,418.041900634766,418.061889648438,418.081878662109,3,3.75257515907288,0.558459997177124,2.11000967025757,0.563728213310242,92-2f-8d-d7-fa-bc-b1-bf-a4-96-6d-87-32-cf-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.06928985369194,-1.92558529759973
40.109934,1233,427,1233,427,2,40.110602,0.00572700000000026,40.104875,418.081909179688,418.101898193359,418.121887207031,418.081909179688,418.101898193359,418.121887207031,3,3.76838231086731,0.62695038318634,2.12581491470337,0.632218599319458,63-0d-e1-79-01-c8-b5-bf-0b-13-13-9a-93-cc-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.0850830957943365,-1.92494545159679
40.12969,1233,427,1233,427,2,40.130339,0.0254639999999995,40.104875,418.081909179688,418.101898193359,418.121887207031,418.081909179688,418.101898193359,418.121887207031,3,3.78550672531128,0.695440709590912,2.14162015914917,0.695440471172333,7c-44-7f-0d-29-fe-b9-bf-3c-95-bb-b7-d8-c9-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.101534429354858,-1.92427894373516
40.149687,842,690,842,690,2,40.150317,0.00544599999999917,40.144871,418.121917724609,418.141906738281,418.161895751953,418.121917724609,418.141906738281,418.161895751953,3,3.80263090133667,0.695440709590912,2.15874218940735,0.695440471172333,83-24-aa-93-6b-5f-be-bf-c6-f7-49-e4-01-c7-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.118643497038777,-1.92358578849188
40.169702,842,690,842,690,2,40.170389,0.0255179999999982,40.144871,418.121917724609,418.141906738281,418.161895751953,418.121917724609,418.141906738281,418.161895751953,3,3.8184380531311,0.748125612735748,2.17454743385315,0.742856800556183,2a-01-ff-1a-39-35-c1-bf-2d-74-ef-f6-62-c4-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.134436739141173,-1.92294594248893
40.189699,829,436,829,436,2,40.190348,0.00548200000000065,40.184866,418.161895751953,418.181884765625,418.201873779297,418.161895751953,418.181884765625,418.201873779297,3,3.83556246757507,0.785005033016205,2.19166994094849,0.774467766284943,5a-49-73-5d-dd-65-c3-bf-28-fc-9a-1f-8c-c1-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.15154616415982,-1.92225277276862
40.209715,829,436,829,436,2,40.210327,0.025461,40.184866,418.161895751953,418.181884765625,418.201873779297,418.161895751953,418.181884765625,418.201873779297,3,3.85268640518188,0.785005033016205,2.20879220962524,0.774467766284943,5d-b9-88-a0-7e-96-c5-bf-b2-5e-29-4c-b5-be-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.168655231843739,-1.92155961752534
40.229711,1228,439,1228,439,2,40.230342,0.00547800000000365,40.224864,418.201904296875,418.221893310547,418.241882324219,418.201904296875,418.221893310547,418.241882324219,3,3.86981058120728,0.811347484588623,2.22459721565247,0.800810217857361,cb-44-c3-6a-90-b1-c7-bf-42-1d-69-6c-fa-bb-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.185106327181109,-1.92089311931507
40.249671,1228,439,1228,439,2,40.250302,0.0254380000000012,40.224864,418.201904296875,418.221893310547,418.241882324219,418.201904296875,418.221893310547,418.241882324219,3,3.88693499565125,0.827152967453003,2.2417197227478,0.800810217857361,fc-8c-37-ad-34-e2-c9-bf-3d-a5-14-95-23-b9-fe-bf-14-ef-5d-fb-0d-cf-08-40,3.10110088711179,-0.202215752199756,-1.92019994959476
