Timestamp,/RealOutputs/ToF/Distance,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1,/RealOutputs/ToF/Distance/length,/RealOutputs/ToF/FPGA,/RealOutputs/ToF/NT_Delta,/RealOutputs/ToF/NT_Time,/RealOutputs/ToF/Timestamps,/RealOutputs/ToF/Timestamps/0,/RealOutputs/ToF/Timestamps/1,/RealOutputs/ToF/Timestamps/2,/RealOutputs/ToF/Timestamps/length,/RealOutputs/Drive/LeftPositionMeters,/RealOutputs/Drive/LeftVelocityMetersPerSec,/RealOutputs/Drive/RightPositionMeters,/RealOutputs/Drive/RightVelocityMetersPerSec,/RealOutputs/Odometry/Robot,/RealOutputs/Odometry/Robot/rotation/value,/RealOutputs/Odometry/Robot/translation/x,/RealOutputs/Odometry/Robot/translation/y,,,
64.489884,276,299,276,299,2,64.490904,0.0309069999999991,64.459997,442.437042236328,442.45703125,442.477020263672,442.437042236328,442.45703125,442.477020263672,3,4.74183082580566,-1.27497482299805,3.08077740669251,-1.25916957855225,55-34-ea-20-9a-24-0f-40-93-b6-e0-65-14-76-fe-bf-50-b3-15-35-43-1c-09-40,3.13880006287074,3.89287210192428,-1.90382804676066
64.509788,278,299,278,299,2,64.510586,0.00742400000000032,64.503162,442.477020263672,442.497009277344,442.520172119141,442.477020263672,442.497009277344,442.520172119141,3,4.71680307388306,-1.27497482299805,3.05574941635132,-1.25916957855225,27-33-fb-e2-db-57-0f-40-a7-23-78-f9-5f-76-fe-bf-ad-40-8a-c0-e7-1b-09-40,3.13862562581934,3.91789986924268,-1.9039001221556
64.529692,278,299,278,299,2,64.530935,0.0277729999999963,64.503162,442.477020263672,442.497009277344,442.520172119141,442.477020263672,442.497009277344,442.520172119141,3,4.69177579879761,-1.26970636844635,3.03072190284729,-1.25916957855225,3f-17-32-64-1d-8b-0f-40-d4-0a-a5-d6-ad-76-fe-bf-ad-40-8a-c0-e7-1b-09-40,3.13862562581934,3.94292715337625,-1.90397437902054
64.549782,279,307,279,307,2,64.550579,0.00742300000000284,64.543156,442.520202636719,442.540191650391,442.560180664063,442.520202636719,442.540191650391,442.560180664063,3,4.666748046875,-1.26970636844635,3.0056939125061,-1.25916957855225,cb-02-86-24-5f-be-0f-40-22-d1-29-fe-fd-76-fe-bf-0b-ce-fe-4b-8c-1b-09-40,3.13845118876794,3.96795490774125,-1.9040508201843
64.569816,279,307,279,307,2,64.57091,0.0277540000000016,64.543156,442.520202636719,442.540191650391,442.560180664063,442.520202636719,442.540191650391,442.560180664063,3,4.64171981811523,-1.26970636844635,2.9806661605835,-1.25390112400055,66-93-09-f2-a0-f1-0f-40-07-79-92-04-55-77-fe-bf-81-5b-29-3f-d5-1a-09-40,3.13810204834903,3.99298276035045,-1.90413381372452
64.589738,291,309,291,309,2,64.590536,0.00262299999999982,64.587913,442.560180664063,442.584930419922,442.604919433594,442.560180664063,442.584930419922,442.604919433594,3,4.61669206619263,-1.26970636844635,2.95563840866089,-1.25390112400055,26-08-44-4e-71-12-10-40-24-0a-70-ea-b2-77-fe-bf-99-5b-df-a6-79-1a-09-40,3.13792734498152,4.01801035204156,-1.90422336175164
64.609772,291,309,291,309,2,64.610626,0.022712999999996,64.587913,442.560180664063,442.584930419922,442.604919433594,442.560180664063,442.584930419922,442.604919433594,3,4.59166431427002,-1.25916945934296,2.93061065673828,-1.25390112400055,5d-cc-fb-22-12-2c-10-40-4a-44-28-1b-13-78-fe-bf-99-5b-df-a6-79-1a-09-40,3.13792734498152,4.04303793584685,-1.90431509598081
64.629714,296,315,296,315,2,64.630437,0.00252799999999809,64.627909,442.604949951172,442.624938964844,442.644927978516,442.604949951172,442.624938964844,442.644927978516,3,4.56663703918457,-1.25916945934296,2.90558290481567,-1.25390112400055,87-11-3b-e8-b2-45-10-40-30-36-cb-00-71-78-fe-bf-81-5b-29-3f-d5-1a-09-40,3.13810204834903,4.06806528912092,-1.90440464315487
64.649896,296,315,296,315,2,64.65112,0.0232110000000034,64.627909,442.604949951172,442.624938964844,442.644927978516,442.604949951172,442.624938964844,442.644927978516,3,4.54160881042481,-1.25916945934296,2.88055491447449,-1.25390112400055,2d-4a-80-d6-53-5f-10-40-bd-fd-2b-52-ca-78-fe-bf-23-ce-b4-b3-30-1b-09-40,3.13827648540043,4.09309325368899,-1.90448982332587
64.669707,294,315,294,315,2,64.67032,0.00241400000000169,64.667906,442.644927978516,442.664947509766,442.684906005859,442.644927978516,442.664947509766,442.684906005859,3,4.5165810585022,-1.25390112400055,2.85552740097046,-1.24863255023956,5c-ba-a5-a6-f4-78-10-40-07-b0-63-7a-1a-79-fe-bf-50-b3-15-35-43-1c-09-40,3.13880006287074,4.11812076937221,-1.90456626709329
64.689816,294,315,294,315,2,64.69065,0.022744000000003,64.667906,442.644927978516,442.664947509766,442.684906005859,442.644927978516,442.664947509766,442.684906005859,3,4.49155330657959,-1.25390112400055,2.83049941062927,-1.24863255023956,0f-03-e2-88-95-92-10-40-b3-c6-31-2f-5f-79-fe-bf-da-25-eb-41-fa-1c-09-40,3.13914920328965,4.14314855460613,-1.90463179049804
64.709794,301,350,301,350,2,64.710907,0.00301200000001245,64.707895,442.684936523438,442.704925537109,442.724914550781,442.684936523438,442.704925537109,442.724914550781,3,4.46652603149414,-1.25390112400055,2.80547189712524,-1.24863255023956,38-ea-37-4c-36-ac-10-40-41-0b-e9-04-9d-79-fe-bf-7d-98-76-b6-55-1d-09-40,3.13932364034105,4.16817587939527,-1.90469076078507
64.729754,301,350,301,350,2,64.731015,0.0231200000000058,64.707895,442.684936523438,442.704925537109,442.724914550781,442.684936523438,442.704925537109,442.724914550781,3,4.44149780273438,-1.25390112400055,2.78044390678406,-1.24863243103027,12-d2-d0-40-d7-c5-10-40-17-72-4d-b2-d1-79-fe-bf-aa-7d-d7-37-68-1e-09-40,3.13984721781136,4.19320393824138,-1.90474099778578
64.749695,303,438,303,438,2,64.750252,0.00236499999999751,64.747887,442.724914550781,442.744903564453,442.764892578125,442.724914550781,442.744903564453,442.764892578125,3,4.41778707504273,-1.24863255023956,2.75673341751099,-1.24863243103027,79-5b-a0-d6-1e-de-10-40-34-46-9e-eb-fa-79-fe-bf-91-7d-21-d0-c3-1e-09-40,3.14002192117886,4.21691451410049,-1.90478031195052
64.769673,303,438,303,438,2,64.770545,0.0226579999999927,64.747887,442.724914550781,442.744903564453,442.764892578125,442.724914550781,442.744903564453,442.764892578125,3,4.39275979995728,-1.24863255023956,2.73170566558838,-1.24863243103027,ae-08-fb-a4-bf-f7-10-40-56-a3-4e-90-1f-7a-fe-bf-d7-62-38-b9-7a-1f-09-40,3.14037079528167,4.24194200308027,-1.90481525773995
64.789707,303,566,303,566,2,64.790264,0.00238499999998965,64.787879,442.764923095703,442.784912109375,442.804901123047,442.764923095703,442.784912109375,442.804901123047,3,4.36773157119751,-1.24863255023956,2.70667791366577,-1.24336397647858,12-8e-4e-94-60-11-11-40-b2-fd-92-77-36-7a-fe-bf-eb-47-e3-d2-e8-20-09-40,3.14106907611948,4.26696998338186,-1.90483710011163
64.809927,303,566,303,566,2,64.810984,0.023105000000001,64.787879,442.764923095703,442.784912109375,442.804901123047,442.764923095703,442.784912109375,442.804901123047,3,4.3427038192749,-1.24336397647858,2.6829674243927,-1.24336397647858,7e-2a-26-cc-54-2a-11-40-5b-26-08-9e-41-7a-fe-bf-8e-ba-6e-47-44-21-09-40,3.14124351317088,4.29133910162875,-1.90484773379503
64.829701,315,516,315,516,2,64.830295,0.00083400000001177,64.829461,442.804901123047,442.826477050781,442.846466064453,442.804901123047,442.826477050781,442.846466064453,3,4.31635904312134,-1.24336397647858,2.65662240982056,-1.24336385726929,cc-14-16-f4-4e-45-11-40-bc-69-60-d9-48-7a-fe-bf-75-ba-b8-df-9f-21-09-40,3.14141821653839,4.31768399605535,-1.90485463059177
64.849698,315,516,315,516,2,64.850811,0.0213499999999982,64.829461,442.804901123047,442.826477050781,442.846466064453,442.804901123047,442.826477050781,442.846466064453,3,4.29133129119873,-1.25390100479126,2.63159465789795,-1.24336385726929,92-87-0f-d4-ef-5e-11-40-dd-c6-84-8e-46-7a-fe-bf-8f-ba-6e-47-44-21-09-c0,-3.14124351317088,4.3427117475966,-1.90485244437553
64.869695,315,765,315,765,2,64.870882,0.00142599999999504,64.869456,442.846496582031,442.866485595703,442.886474609375,442.846496582031,442.866485595703,442.886474609375,3,4.26630306243897,-1.25390100479126,2.60656690597534,-1.24336385726929,99-52-f5-c3-90-78-11-40-2d-8d-da-64-3d-7a-fe-bf-8f-ba-6e-47-44-21-09-c0,-3.14124351317088,4.36773973641234,-1.90484370609267
64.889766,315,765,315,765,2,64.890545,0.0210890000000035,64.869456,442.846496582031,442.866485595703,442.886474609375,442.846496582031,442.866485595703,442.886474609375,3,4.24127578735352,-1.25390100479126,2.58285617828369,-1.24336385726929,12-ef-cc-f3-84-91-11-40-bb-f7-68-3e-32-7a-fe-bf-ec-47-e3-d2-e8-20-09-c0,-3.14106907611948,4.39210873544995,-1.9048330724613
64.909726,318,596,318,596,2,64.910375,0.000927000000004341,64.909448,442.886474609375,442.906463623047,442.926452636719,442.886474609375,442.906463623047,442.926452636719,3,4.21624803543091,-1.25916945934296,2.55651116371155,-1.24336385726929,e7-0e-7a-7b-d2-ab-11-40-d9-8a-e3-ca-21-7a-fe-bf-49-d5-57-5e-8d-20-09-c0,-3.14089463906808,4.41779511387333,-1.90481738332226
64.929686,318,596,318,596,2,64.930242,0.0207940000000093,64.909448,442.886474609375,442.906463623047,442.926452636719,442.886474609375,442.906463623047,442.926452636719,3,4.1912202835083,-1.25916945934296,2.53280067443848,-1.24336385726929,67-11-14-b3-c6-c4-11-40-80-55-cd-f4-0f-7a-fe-bf-49-d5-57-5e-8d-20-09-c0,-3.14089463906808,4.44216422853456,-1.90480037332358
64.950239,326,662,326,662,2,64.950758,-0.000268000000005486,64.951026,442.926483154297,442.948059082031,442.968048095703,442.926483154297,442.948059082031,442.968048095703,3,4.16619205474854,-1.25390112400055,2.50777411460876,-1.24336385726929,9d-52-ab-7a-67-de-11-40-3f-96-5f-a3-fd-79-fe-bf-49-d5-57-5e-8d-20-09-c0,-3.14089463906808,4.46719161673232,-1.90478290384034
64.969698,326,662,326,662,2,64.970885,0.0198589999999967,64.951026,442.926483154297,442.948059082031,442.968048095703,442.926483154297,442.948059082031,442.968048095703,3,4.14116430282593,-1.25390112400055,2.48274922370911,-1.24336385726929,ff-2d-26-fa-07-f8-11-40-67-4b-52-07-e9-79-fe-bf-62-d5-0d-c6-31-20-09-c0,-3.14071993570057,4.49221793039351,-1.9047632490153
64.989918,327,1091,327,1091,2,64.990715,-0.000300000000009959,64.991015,442.968048095703,442.988037109375,443.008026123047,442.968048095703,442.988037109375,443.008026123047,3,4.11481952667236,-1.25390112400055,2.45772433280945,-1.24336385726929,48-50-5a-19-55-12-12-40-92-66-d4-2c-cf-79-fe-bf-bf-62-82-51-d6-1f-09-c0,-3.14054549864917,4.51790275205355,-1.90473859321211
65.009692,327,1091,327,1091,2,65.010397,0.0193819999999931,64.991015,442.968048095703,442.988037109375,443.008026123047,442.968048095703,442.988037109375,443.008026123047,3,4.08979177474976,-1.25916945934296,2.43269944190979,-1.24336385726929,69-14-e5-97-f5-2b-12-40-31-59-69-d3-ac-79-fe-bf-92-7d-21-d0-c3-1e-09-c0,-3.14002192117886,4.54292905173961,-1.9047058351767
65.029689,336,756,336,756,2,65.030375,-0.000632999999993444,65.031008,443.008056640625,443.028045654297,443.048034667969,443.008056640625,443.028045654297,443.048034667969,3,4.06476402282715,-1.25916945934296,2.40767455101013,-1.24336385726929,1e-84-95-15-96-45-12-40-f7-bd-7c-50-81-79-fe-bf-ab-7d-d7-37-68-1e-09-c0,-3.13984721781136,4.56795533871721,-1.90466433945028
